country_name,region,subregion,capital_city,population,area,population_density
Country_000,Europe,Western Europe,Capital_000,1000000,10000,100.0
Country_001,Americas,North America,Capital_001,1010000,10500,96.19
Country_002,Asia,Southeast Asia,Capital_002,1020000,11000,92.73
Country_003,Africa,Eastern Africa,Capital_003,1030000,11500,89.57
Country_004,Oceania,Australia and New Zealand,Capital_004,1040000,12000,86.67
Country_005,Europe,Eastern Europe,Capital_005,1050000,12500,84.0
Country_006,Americas,Central America,Capital_006,1060000,13000,81.54
Country_007,Asia,Southeast Asia,Capital_007,1070000,13500,79.26
Country_008,Africa,Eastern Africa,Capital_008,1080000,14000,77.14
Country_009,Oceania,Melanesia,Capital_009,1090000,14500,75.17
Country_010,Europe,Northern Europe,Capital_010,1100000,15000,73.33
Country_011,Americas,Caribbean,Capital_011,1110000,15500,71.61
Country_012,Asia,Southeast Asia,Capital_012,1120000,16000,70.0
Country_013,Africa,Eastern Africa,Capital_013,1130000,16500,68.48
Country_014,Oceania,Micronesia,Capital_014,1140000,17000,67.06
Country_015,Europe,Southern Europe,Capital_015,1150000,17500,65.71
Country_016,Americas,South America,Capital_016,1160000,18000,64.44
Country_017,Asia,Southeast Asia,Capital_017,1170000,18500,63.24
Country_018,Africa,Eastern Africa,Capital_018,1180000,19000,62.11
Country_019,Oceania,Polynesia,Capital_019,1190000,19500,61.03
Country_020,Europe,Western Europe,Capital_020,1200000,20000,60.0
Country_021,Americas,North America,Capital_021,1210000,20500,59.02
Country_022,Asia,Southeast Asia,Capital_022,1220000,21000,58.1
Country_023,Africa,Eastern Africa,Capital_023,1230000,21500,57.21
Country_024,Oceania,Australia and New Zealand,Capital_024,1240000,22000,56.36
Country_025,Europe,Eastern Europe,Capital_025,1250000,22500,55.56
Country_026,Americas,Central America,Capital_026,1260000,23000,54.78
Country_027,Asia,Southeast Asia,Capital_027,1270000,23500,54.04
Country_028,Africa,Eastern Africa,Capital_028,1280000,24000,53.33
Country_029,Oceania,Melanesia,Capital_029,1290000,24500,52.65
Country_030,Europe,Northern Europe,Capital_030,1300000,25000,52.0
Country_031,Americas,Caribbean,Capital_031,1310000,25500,51.37
Country_032,Asia,Southeast Asia,Capital_032,1320000,26000,50.77
Country_033,Africa,Eastern Africa,Capital_033,1330000,26500,50.19
Country_034,Oceania,Micronesia,Capital_034,1340000,27000,49.63
Country_035,Europe,Southern Europe,Capital_035,1350000,27500,49.09
Country_036,Americas,South America,Capital_036,1360000,28000,48.57
Country_037,Asia,Southeast Asia,Capital_037,1370000,28500,48.07
Country_038,Africa,Eastern Africa,Capital_038,1380000,29000,47.59
Country_039,Oceania,Polynesia,Capital_039,1390000,29500,47.12
Country_040,Europe,Western Europe,Capital_040,1400000,30000,46.67
Country_041,Americas,North America,Capital_041,1410000,30500,46.23
Country_042,Asia,Southeast Asia,Capital_042,1420000,31000,45.81
Country_043,Africa,Eastern Africa,Capital_043,1430000,31500,45.4
Country_044,Oceania,Australia and New Zealand,Capital_044,1440000,32000,45.0
Country_045,Europe,Eastern Europe,Capital_045,1450000,32500,44.62
Country_046,Americas,Central America,Capital_046,1460000,33000,44.24
Country_047,Asia,Southeast Asia,Capital_047,1470000,33500,43.88
Country_048,Africa,Eastern Africa,Capital_048,1480000,34000,43.53
Country_049,Oceania,Melanesia,Capital_049,1490000,34500,43.19
Country_050,Europe,Northern Europe,Capital_050,1500000,35000,42.86
Country_051,Americas,Caribbean,Capital_051,1510000,35500,42.54
Country_052,Asia,Southeast Asia,Capital_052,1520000,36000,42.22
Country_053,Africa,Eastern Africa,Capital_053,1530000,36500,41.92
Country_054,Oceania,Micronesia,Capital_054,1540000,37000,41.62
Country_055,Europe,Southern Europe,Capital_055,1550000,37500,41.33
Country_056,Americas,South America,Capital_056,1560000,38000,41.05
Country_057,Asia,Southeast Asia,Capital_057,1570000,38500,40.78
Country_058,Africa,Eastern Africa,Capital_058,1580000,39000,40.51
Country_059,Oceania,Polynesia,Capital_059,1590000,39500,40.25
Country_060,Europe,Western Europe,Capital_060,1600000,40000,40.0
Country_061,Americas,North America,Capital_061,1610000,40500,39.75
Country_062,Asia,Southeast Asia,Capital_062,1620000,41000,39.51
Country_063,Africa,Eastern Africa,Capital_063,1630000,41500,39.28
Country_064,Oceania,Australia and New Zealand,Capital_064,1640000,42000,39.05
Country_065,Europe,Eastern Europe,Capital_065,1650000,42500,38.82
Country_066,Americas,Central America,Capital_066,1660000,43000,38.6
Country_067,Asia,Southeast Asia,Capital_067,1670000,43500,38.39
Country_068,Africa,Eastern Africa,Capital_068,1680000,44000,38.18
Country_069,Oceania,Melanesia,Capital_069,1690000,44500,37.98
Country_070,Europe,Northern Europe,Capital_070,1700000,45000,37.78
Country_071,Americas,Caribbean,Capital_071,1710000,45500,37.58
Country_072,Asia,Southeast Asia,Capital_072,1720000,46000,37.39
Country_073,Africa,Eastern Africa,Capital_073,1730000,46500,37.2
Country_074,Oceania,Micronesia,Capital_074,1740000,47000,37.02
Country_075,Europe,Southern Europe,Capital_075,1750000,47500,36.84
Country_076,Americas,South America,Capital_076,1760000,48000,36.67
Country_077,Asia,Southeast Asia,Capital_077,1770000,48500,36.49
Country_078,Africa,Eastern Africa,Capital_078,1780000,49000,36.33
Country_079,Oceania,Polynesia,Capital_079,1790000,49500,36.16
Country_080,Europe,Western Europe,Capital_080,1800000,50000,36.0
Country_081,Americas,North America,Capital_081,1810000,50500,35.84
Country_082,Asia,Southeast Asia,Capital_082,1820000,51000,35.69
Country_083,Africa,Eastern Africa,Capital_083,1830000,51500,35.53
Country_084,Oceania,Australia and New Zealand,Capital_084,1840000,52000,35.38
Country_085,Europe,Eastern Europe,Capital_085,1850000,52500,35.24
Country_086,Americas,Central America,Capital_086,1860000,53000,35.09
Country_087,Asia,Southeast Asia,Capital_087,1870000,53500,34.95
Country_088,Africa,Eastern Africa,Capital_088,1880000,54000,34.81
Country_089,Oceania,Melanesia,Capital_089,1890000,54500,34.68
Country_090,Europe,Northern Europe,Capital_090,1900000,55000,34.55
Country_091,Americas,Caribbean,Capital_091,1910000,55500,34.41
Country_092,Asia,Southeast Asia,Capital_092,1920000,56000,34.29
Country_093,Africa,Eastern Africa,Capital_093,1930000,56500,34.16
Country_094,Oceania,Micronesia,Capital_094,1940000,57000,34.04
Country_095,Europe,Southern Europe,Capital_095,1950000,57500,33.91
Country_096,Americas,South America,Capital_096,1960000,58000,33.79
Country_097,Asia,Southeast Asia,Capital_097,1970000,58500,33.68
Country_098,Africa,Eastern Africa,Capital_098,1980000,59000,33.56
Country_099,Oceania,Polynesia,Capital_099,1990000,59500,33.45
Country_100,Europe,Western Europe,Capital_100,2000000,60000,33.33
Country_101,Americas,North America,Capital_101,2010000,60500,33.22
Country_102,Asia,Southeast Asia,Capital_102,2020000,61000,33.11
Country_103,Africa,Eastern Africa,Capital_103,2030000,61500,33.01
Country_104,Oceania,Australia and New Zealand,Capital_104,2040000,62000,32.9
Country_105,Europe,Eastern Europe,Capital_105,2050000,62500,32.8
Country_106,Americas,Central America,Capital_106,2060000,63000,32.7
Country_107,Asia,Southeast Asia,Capital_107,2070000,63500,32.6
Country_108,Africa,Eastern Africa,Capital_108,2080000,64000,32.5
Country_109,Oceania,Melanesia,Capital_109,2090000,64500,32.4
Country_110,Europe,Northern Europe,Capital_110,2100000,65000,32.31
Country_111,Americas,Caribbean,Capital_111,2110000,65500,32.21
Country_112,Asia,Southeast Asia,Capital_112,2120000,66000,32.12
Country_113,Africa,Eastern Africa,Capital_113,2130000,66500,32.03
Country_114,Oceania,Micronesia,Capital_114,2140000,67000,31.94
Country_115,Europe,Southern Europe,Capital_115,2150000,67500,31.85
Country_116,Americas,South America,Capital_116,2160000,68000,31.76
Country_117,Asia,Southeast Asia,Capital_117,2170000,68500,31.68
Country_118,Africa,Eastern Africa,Capital_118,2180000,69000,31.59
Country_119,Oceania,Polynesia,Capital_119,2190000,69500,31.51
Country_120,Europe,Western Europe,Capital_120,2200000,70000,31.43
Country_121,Americas,North America,Capital_121,2210000,70500,31.35
Country_122,Asia,Southeast Asia,Capital_122,2220000,71000,31.27
Country_123,Africa,Eastern Africa,Capital_123,2230000,71500,31.19
Country_124,Oceania,Australia and New Zealand,Capital_124,2240000,72000,31.11
Country_125,Europe,Eastern Europe,Capital_125,2250000,72500,31.03
Country_126,Americas,Central America,Capital_126,2260000,73000,30.96
Country_127,Asia,Southeast Asia,Capital_127,2270000,73500,30.88
Country_128,Africa,Eastern Africa,Capital_128,2280000,74000,30.81
Country_129,Oceania,Melanesia,Capital_129,2290000,74500,30.74
Country_130,Europe,Northern Europe,Capital_130,2300000,75000,30.67
Country_131,Americas,Caribbean,Capital_131,2310000,75500,30.6
Country_132,Asia,Southeast Asia,Capital_132,2320000,76000,30.53
Country_133,Africa,Eastern Africa,Capital_133,2330000,76500,30.46
Country_134,Oceania,Micronesia,Capital_134,2340000,77000,30.39
Country_135,Europe,Southern Europe,Capital_135,2350000,77500,30.32
Country_136,Americas,South America,Capital_136,2360000,78000,30.26
Country_137,Asia,Southeast Asia,Capital_137,2370000,78500,30.19
Country_138,Africa,Eastern Africa,Capital_138,2380000,79000,30.13
Country_139,Oceania,Polynesia,Capital_139,2390000,79500,30.06
Country_140,Europe,Western Europe,Capital_140,2400000,80000,30.0
Country_141,Americas,North America,Capital_141,2410000,80500,29.94
Country_142,Asia,Southeast Asia,Capital_142,2420000,81000,29.88
Country_143,Africa,Eastern Africa,Capital_143,2430000,81500,29.82
Country_144,Oceania,Australia and New Zealand,Capital_144,2440000,82000,29.76
Country_145,Europe,Eastern Europe,Capital_145,2450000,82500,29.7
Country_146,Americas,Central America,Capital_146,2460000,83000,29.64
Country_147,Asia,Southeast Asia,Capital_147,2470000,83500,29.58
Country_148,Africa,Eastern Africa,Capital_148,2480000,84000,29.52
Country_149,Oceania,Melanesia,Capital_149,2490000,84500,29.47
Country_150,Europe,Northern Europe,Capital_150,2500000,85000,29.41
Country_151,Americas,Caribbean,Capital_151,2510000,85500,29.36
Country_152,Asia,Southeast Asia,Capital_152,2520000,86000,29.3
Country_153,Africa,Eastern Africa,Capital_153,2530000,86500,29.25
Country_154,Oceania,Micronesia,Capital_154,2540000,87000,29.2
Country_155,Europe,Southern Europe,Capital_155,2550000,87500,29.14
Country_156,Americas,South America,Capital_156,2560000,88000,29.09
Country_157,Asia,Southeast Asia,Capital_157,2570000,88500,29.04
Country_158,Africa,Eastern Africa,Capital_158,2580000,89000,28.99
Country_159,Oceania,Polynesia,Capital_159,2590000,89500,28.94
Country_160,Europe,Western Europe,Capital_160,2600000,90000,28.89
Country_161,Americas,North America,Capital_161,2610000,90500,28.84
Country_162,Asia,Southeast Asia,Capital_162,2620000,91000,28.79
Country_163,Africa,Eastern Africa,Capital_163,2630000,91500,28.74
Country_164,Oceania,Australia and New Zealand,Capital_164,2640000,92000,28.7
Country_165,Europe,Eastern Europe,Capital_165,2650000,92500,28.65
Country_166,Americas,Central America,Capital_166,2660000,93000,28.6
Country_167,Asia,Southeast Asia,Capital_167,2670000,93500,28.56
Country_168,Africa,Eastern Africa,Capital_168,2680000,94000,28.51
Country_169,Oceania,Melanesia,Capital_169,2690000,94500,28.47
Country_170,Europe,Northern Europe,Capital_170,2700000,95000,28.42
Country_171,Americas,Caribbean,Capital_171,2710000,95500,28.38
Country_172,Asia,Southeast Asia,Capital_172,2720000,96000,28.33
Country_173,Africa,Eastern Africa,Capital_173,2730000,96500,28.29
Country_174,Oceania,Micronesia,Capital_174,2740000,97000,28.25
Country_175,Europe,Southern Europe,Capital_175,2750000,97500,28.21
Country_176,Americas,South America,Capital_176,2760000,98000,28.16
Country_177,Asia,Southeast Asia,Capital_177,2770000,98500,28.12
Country_178,Africa,Eastern Africa,Capital_178,2780000,99000,28.08
Country_179,Oceania,Polynesia,Capital_179,2790000,99500,28.04
Country_180,Europe,Western Europe,Capital_180,2800000,100000,28.0
Country_181,Americas,North America,Capital_181,2810000,100500,27.96
Country_182,Asia,Southeast Asia,Capital_182,2820000,101000,27.92
Country_183,Africa,Eastern Africa,Capital_183,2830000,101500,27.88
Country_184,Oceania,Australia and New Zealand,Capital_184,2840000,102000,27.84
Country_185,Europe,Eastern Europe,Capital_185,2850000,102500,27.8
Country_186,Americas,Central America,Capital_186,2860000,103000,27.77
Country_187,Asia,Southeast Asia,Capital_187,2870000,103500,27.73
Country_188,Africa,Eastern Africa,Capital_188,2880000,104000,27.69
Country_189,Oceania,Melanesia,Capital_189,2890000,104500,27.66
Country_190,Europe,Northern Europe,Capital_190,2900000,105000,27.62
Country_191,Americas,Caribbean,Capital_191,2910000,105500,27.58
Country_192,Asia,Southeast Asia,Capital_192,2920000,106000,27.55
Country_193,Africa,Eastern Africa,Capital_193,2930000,106500,27.51
Country_194,Oceania,Micronesia,Capital_194,2940000,107000,27.48
